x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y
1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,651
1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,536
1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,581
1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,381
1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,424
1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,615
1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,477
1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,263
1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,272
1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,247
1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,612
1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,510
1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,555
1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,264
1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,576
1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,268
